timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-22 19:49:38];[Script 1];192.168.178.117;Regler;True;13;13342;19614;11844;
[2026-09-22 19:49:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:49:38];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
[2026-09-22 19:49:53];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:49:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:49:53];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
[2026-09-22 19:50:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:50:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:50:08];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
[2026-09-22 19:50:23];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:50:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:50:23];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
[2026-09-22 19:50:38];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:50:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:50:38];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
[2026-09-22 19:50:53];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:50:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:50:53];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
[2026-09-22 19:51:08];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:51:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:51:08];[Script 1];192.168.178.151;watchdog;True;0;7084;10892;18102;
