timestamp;script_id;host;label;running;cpu;mem_used;mem_peak;mem_free;error
[2026-09-22 19:25:38];[Script 1];192.168.178.117;Regler;True;13;13342;19614;11844;
[2026-09-22 19:25:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:25:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12432;18662;
[2026-09-22 19:25:53];[Script 1];192.168.178.117;Regler;True;9;13342;19614;11844;
[2026-09-22 19:25:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:25:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:26:08];[Script 1];192.168.178.117;Regler;True;12;13342;19614;11844;
[2026-09-22 19:26:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:26:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:26:23];[Script 1];192.168.178.117;Regler;True;9;13328;19614;11858;
[2026-09-22 19:26:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:26:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:26:38];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:26:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:26:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:26:53];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:26:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:26:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:27:08];[Script 1];192.168.178.117;Regler;True;12;13342;19614;11844;
[2026-09-22 19:27:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:27:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:27:23];[Script 1];192.168.178.117;Regler;True;10;13328;19614;11858;
[2026-09-22 19:27:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:27:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:27:38];[Script 1];192.168.178.117;Regler;True;13;13342;19614;11844;
[2026-09-22 19:27:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:27:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:27:53];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:27:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:27:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:28:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:28:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:28:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:28:23];[Script 1];192.168.178.117;Regler;True;12;13328;19614;11858;
[2026-09-22 19:28:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:28:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:28:38];[Script 1];192.168.178.117;Regler;True;11;13342;19614;11844;
[2026-09-22 19:28:38];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:28:38];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:28:53];[Script 1];192.168.178.117;Regler;True;8;13342;19614;11844;
[2026-09-22 19:28:53];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:28:53];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:29:08];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
[2026-09-22 19:29:08];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:29:08];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:29:23];[Script 1];192.168.178.117;Regler;True;10;13328;19614;11858;
[2026-09-22 19:29:23];[Script 1];192.168.178.149;zenDash;True;0;7994;11998;17192;
[2026-09-22 19:29:23];[Script 1];192.168.178.151;watchdog;True;0;6524;12544;18662;
[2026-09-22 19:29:38];[Script 1];192.168.178.117;Regler;True;10;13342;19614;11844;
